%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1670366084253256060,49,1670366084252577505,,0.0,0.0,0.0,0.0,0.0,0.0
1670366084357151579,50,1670366084356564356,,0.0,0.0,0.0,0.0,0.0,0.0
1670366084461141523,51,1670366084460569430,,0.0,0.0,0.0,0.0,0.0,0.0
1670366084565166375,52,1670366084564604356,,0.0,0.0,0.0,0.0,0.0,0.0
1670366084669129078,53,1670366084668559449,,0.0,0.0,0.0,0.0,0.0,0.0
1670366084773120949,54,1670366084772565338,,0.0,0.0,0.0,0.0,0.0,0.0
1670366084877197134,55,1670366084876629837,,0.0,0.0,0.0,0.0,0.0,0.0
1670366084981276263,56,1670366084980573060,,0.0,0.0,0.0,0.0,0.0,0.0
1670366085085199060,57,1670366085084565911,,0.0,0.0,0.0,0.0,0.0,0.0
1670366085189211689,58,1670366085188561245,,0.0,0.0,0.0,0.0,0.0,0.0
1670366085293133485,59,1670366085292559504,,0.0,0.0,0.0,0.0,0.0,0.0
1670366085397063485,60,1670366085396527726,,0.0,0.0,0.0,0.0,0.0,0.0
1670366085501184448,61,1670366085500563541,,0.0,0.0,0.0,0.0,0.0,0.0
1670366085605158263,62,1670366085604595800,,0.0,0.0,0.0,0.0,0.0,0.0
1670366085709101189,63,1670366085708552559,,0.0,0.0,0.0,0.0,0.0,0.0
1670366085813161855,64,1670366085812556855,,0.0,0.0,0.0,0.0,0.0,0.0
1670366085917222689,65,1670366085916589670,,0.0,0.0,0.0,0.0,0.0,0.0
1670366086021096448,66,1670366086020538929,,0.0,0.0,0.0,0.0,0.0,0.0
1670366086125186226,67,1670366086124566540,,0.0,0.0,0.0,0.0,0.0,0.0
1670366086229207818,68,1670366086228600448,,0.0,0.0,0.0,0.0,0.0,0.0
1670366086333151911,69,1670366086332552633,,0.0,0.0,0.0,0.0,0.0,0.0
1670366086437149855,70,1670366086436549762,,0.0,0.0,0.0,0.0,0.0,0.0
1670366086541152670,71,1670366086540553985,,0.0,0.0,0.0,0.0,0.0,0.0
1670366086645171633,72,1670366086644555966,,0.0,0.0,0.0,0.0,0.0,0.0
1670366086749130188,73,1670366086748547040,,0.0,0.0,0.0,0.0,0.0,0.0
1670366086853146799,74,1670366086852537892,,0.0,0.0,0.0,0.0,0.0,0.0
1670366086957182725,75,1670366086956563855,,0.0,0.0,0.0,0.0,0.0,0.0
1670366087061265392,76,1670366087060600818,,0.0,0.0,0.0,0.0,0.0,0.0
1670366087165168799,77,1670366087164561429,,0.0,0.0,0.0,0.0,0.0,0.0
1670366087269169040,78,1670366087268558540,,0.0,0.0,0.0,0.0,0.0,0.0
1670366087373184836,79,1670366087372579892,,0.0,0.0,0.0,0.0,0.0,0.0
1670366087477173614,80,1670366087476561280,,0.0,0.0,0.0,0.0,0.0,0.0
1670366087581136725,81,1670366087580552003,,0.0,0.0,0.0,0.0,0.0,0.0
1670366087685239854,82,1670366087684588928,,0.0,0.0,0.0,0.0,0.0,0.0
1670366087789220336,83,1670366087788603317,,0.0,0.0,0.0,0.0,0.0,0.0
1670366087893330484,84,1670366087892662428,,0.0,0.0,0.0,0.0,0.0,0.0
1670366087941237502,85,1670366087940641817,,0.0,0.0,0.0,0.0,0.0,0.0
1670366087989229113,86,1670366087988634169,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088021186613,87,1670366088020595336,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088069185873,88,1670366088068586447,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088101314687,89,1670366088100649410,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088149143873,90,1670366088148584558,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088197235261,91,1670366088196608058,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088229152169,92,1670366088228598965,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088277225724,93,1670366088276631984,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088309097428,94,1670366088308572891,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088357152484,95,1670366088356593724,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088405228724,96,1670366088404609206,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088437106854,97,1670366088436576076,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088485001872,98,1670366088484505558,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088517256983,99,1670366088516654817,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088565168446,100,1670366088564621465,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088613227483,101,1670366088612609835,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088645172613,102,1670366088644605576,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088693168169,103,1670366088692583743,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088725168113,104,1670366088724576965,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088773074631,105,1670366088772542168,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088821135743,106,1670366088820543502,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088853070576,107,1670366088852522780,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088901157113,108,1670366088900556631,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088933060372,109,1670366088932528224,,0.0,0.0,0.0,0.0,0.0,0.0
1670366088981102039,110,1670366088980512428,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089029058057,111,1670366089028500391,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089061052057,112,1670366089060487557,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089109303761,113,1670366089108574131,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089141019705,114,1670366089140467298,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089189074279,115,1670366089188481816,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089237073742,116,1670366089236479724,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089269003946,117,1670366089268459298,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089317105150,118,1670366089316490205,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089365056001,119,1670366089364469205,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089396922742,120,1670366089396346501,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089412815446,121,1670366089412348372,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089445004298,122,1670366089444432094,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089492996464,123,1670366089492420057,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089525034168,124,1670366089524439946,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089572990705,125,1670366089572400520,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089604923038,126,1670366089604322149,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089620822038,127,1670366089620315261,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089652929946,128,1670366089652401631,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089701032742,129,1670366089700441705,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089732938409,130,1670366089732390020,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089780946075,131,1670366089780380779,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089828932390,132,1670366089828368779,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089860906205,133,1670366089860350723,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089908962946,134,1670366089908376353,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089940973316,135,1670366089940387483,,0.0,0.0,0.0,0.0,0.0,0.0
1670366089988946001,136,1670366089988364279,,0.0,0.0,0.0,0.0,0.0,0.0
1670366090036990983,137,1670366090036383834,,0.0,0.0,0.0,0.0,0.0,0.0
1670366090068936946,138,1670366090068390297,,0.0,0.0,0.0,0.0,0.0,0.0
